@RELATION cluster_test
@ATTRIBUTE x continuous
@ATTRIBUTE y continuous
@ATTRIBUTE color {r,g,b}
@DATA
-20,-20,r
-19,-20,r
-18,-20,r
-17,-20,r
-16,-20,r
-15,-20,r
-14,-20,r
-13,-20,r
-12,-20,r
-11,-20,r
-10,-20,r
-9,-20,r
-8,-20,r
-7,-20,r
-6,-20,r
-5,-20,r
-4,-20,r
-3,-20,r
-2,-20,r
-1,-20,r
0,-20,r
1,-20,r
2,-20,r
3,-20,r
4,-20,r
5,-20,r
6,-20,r
7,-20,r
8,-20,r
9,-20,r
10,-20,r
11,-20,r
12,-20,r
13,-20,r
14,-20,r
15,-20,r
16,-20,r
17,-20,r
18,-20,r
19,-20,r
-20,-19,r
-19,-19,r
-18,-19,r
-17,-19,r
-16,-19,r
-15,-19,r
-14,-19,r
-13,-19,r
-12,-19,r
-11,-19,r
-10,-19,r
-9,-19,r
-8,-19,r
-7,-19,r
-6,-19,r
-5,-19,r
-4,-19,r
-3,-19,r
-2,-19,r
-1,-19,r
0,-19,r
1,-19,r
2,-19,r
3,-19,r
4,-19,r
5,-19,r
6,-19,r
7,-19,r
8,-19,r
9,-19,r
10,-19,r
11,-19,r
12,-19,r
13,-19,r
14,-19,r
15,-19,r
16,-19,r
17,-19,r
18,-19,r
19,-19,r
-20,-18,r
-19,-18,r
-18,-18,r
-17,-18,r
-16,-18,r
-15,-18,r
-14,-18,r
-13,-18,r
-12,-18,r
-11,-18,r
-10,-18,r
-9,-18,r
-8,-18,r
-7,-18,r
-6,-18,r
-5,-18,r
-4,-18,r
-3,-18,r
-2,-18,r
-1,-18,r
0,-18,r
1,-18,r
2,-18,r
3,-18,r
4,-18,r
5,-18,r
6,-18,r
7,-18,r
8,-18,r
9,-18,r
10,-18,r
11,-18,r
12,-18,r
13,-18,r
14,-18,r
15,-18,r
16,-18,r
17,-18,r
18,-18,r
19,-18,r
-20,-17,r
-19,-17,r
-18,-17,r
-17,-17,r
-16,-17,r
-15,-17,r
-14,-17,r
-13,-17,r
-12,-17,r
-11,-17,r
-10,-17,r
-9,-17,r
-8,-17,r
-7,-17,r
-6,-17,r
-5,-17,r
-4,-17,r
-3,-17,r
-2,-17,r
-1,-17,r
0,-17,r
1,-17,r
2,-17,r
3,-17,r
4,-17,r
5,-17,r
6,-17,r
7,-17,r
8,-17,r
9,-17,r
10,-17,r
11,-17,r
12,-17,r
13,-17,r
14,-17,r
15,-17,r
16,-17,r
17,-17,r
18,-17,r
19,-17,r
-20,-16,r
-19,-16,r
-18,-16,r
-17,-16,r
-16,-16,r
-15,-16,r
-14,-16,r
-13,-16,r
-12,-16,r
-11,-16,r
-10,-16,r
-9,-16,r
-8,-16,r
-7,-16,r
-6,-16,r
-5,-16,r
-4,-16,r
-3,-16,r
-2,-16,r
-1,-16,r
0,-16,r
1,-16,r
2,-16,r
3,-16,r
4,-16,r
5,-16,r
6,-16,r
7,-16,r
8,-16,r
9,-16,r
10,-16,r
11,-16,r
12,-16,r
13,-16,r
14,-16,r
15,-16,r
16,-16,r
17,-16,r
18,-16,r
19,-16,r
-20,-15,r
-19,-15,r
-18,-15,r
-17,-15,r
-16,-15,r
-15,-15,r
-14,-15,r
-13,-15,r
-12,-15,r
-11,-15,r
-10,-15,r
-9,-15,r
-8,-15,r
-7,-15,r
-6,-15,r
-5,-15,r
-4,-15,r
-3,-15,r
-2,-15,r
-1,-15,r
0,-15,r
1,-15,r
2,-15,r
3,-15,r
4,-15,r
5,-15,r
6,-15,r
7,-15,r
8,-15,r
9,-15,r
10,-15,r
11,-15,r
12,-15,r
13,-15,r
14,-15,r
15,-15,r
16,-15,r
17,-15,r
18,-15,r
19,-15,r
-20,-14,r
-19,-14,r
-18,-14,r
-17,-14,r
-16,-14,r
-15,-14,r
-14,-14,r
-13,-14,r
-12,-14,r
-11,-14,r
-10,-14,r
-9,-14,r
-8,-14,r
-7,-14,r
-6,-14,r
-5,-14,r
-4,-14,r
-3,-14,r
-2,-14,r
-1,-14,r
0,-14,r
1,-14,r
2,-14,r
3,-14,r
4,-14,r
5,-14,r
6,-14,r
7,-14,r
8,-14,r
9,-14,r
10,-14,r
11,-14,r
12,-14,r
13,-14,r
14,-14,r
15,-14,r
16,-14,r
17,-14,r
18,-14,r
19,-14,r
-20,-13,r
-19,-13,r
-18,-13,r
-17,-13,r
-16,-13,r
-15,-13,r
-14,-13,r
-13,-13,r
-12,-13,r
-11,-13,r
-10,-13,r
-9,-13,r
-8,-13,r
-7,-13,r
-6,-13,r
-5,-13,r
-4,-13,r
-3,-13,r
-2,-13,r
-1,-13,r
0,-13,r
1,-13,r
2,-13,r
3,-13,r
4,-13,r
5,-13,r
6,-13,r
7,-13,r
8,-13,r
9,-13,r
10,-13,r
11,-13,r
12,-13,r
13,-13,r
14,-13,r
15,-13,r
16,-13,r
17,-13,r
18,-13,r
19,-13,r
-20,-12,r
-19,-12,r
-18,-12,r
-17,-12,r
-16,-12,r
-15,-12,r
-14,-12,r
-13,-12,r
-12,-12,r
-11,-12,r
-10,-12,r
-9,-12,r
-8,-12,r
-7,-12,r
-6,-12,r
-5,-12,r
-4,-12,r
-3,-12,r
-2,-12,r
-1,-12,r
0,-12,r
1,-12,r
2,-12,r
3,-12,r
4,-12,r
5,-12,r
6,-12,r
7,-12,r
8,-12,r
9,-12,r
