@RELATION cluster_test
@ATTRIBUTE x continuous
@ATTRIBUTE y continuous
@ATTRIBUTE color {r,g,b}
@DATA
-9.582480697119804,-5.883216824898845,r
-42.22136651816401,88.94811640609572,r
-18.007307849220528,-23.255616527394245,r
-1.3679223959361906,2.526708147705012,r
-55.517220926874316,72.47328848624517,r
-40.36465732580951,64.85682509087255,r
-10.725765686799003,21.524731620415942,r
-10.0,15.72521718642596,r
63.773230384638964,-37.0,r
60.3345811759894,-37.0,r
-36.5,61.277568135664545,r
-22.94427190999916,-3.4045640366795684,r
-39.667094177290295,88.24467589995155,r
66.9993908270191,-37.13959798681,r
-89.0,3.2720037815598033,r
-87.50157362633635,-3.834941673068599,r
-4.18565756346363,20.095389311788622,r
-89.73169924287357,11.0,r
-54.986295347545735,75.84299213127117,r
-93.23935411386564,14.392192384625705,r
-104.58992103656377,15.27407003253343,r
-5.40348398360631,12.792070083931975,r
0.9703055242875589,14.183980320749981,r
-33.62994380718786,76.96961924049268,r
-49.09199016037499,73.07458519352332,r
-95.4983827231877,12.879385241571818,r
71.0345631283987,-23.011372693774526,r
-78.16711471686571,8.395277334996031,r
-39.15377961128859,72.40078313049816,r
-1.5735111256912422,6.0,r
-21.0,-16.022831811449528,r
-38.63603896932108,73.17157287525382,r
-51.18579493468597,80.72759287799659,r
-45.90798099947909,76.89100652418837,r
-55.67325298903596,71.88732777480566,r
-23.86788218175523,-36.74473679720185,r
-88.38990980076639,23.950531075192693,r
-34.2114813447685,-19.48271843580065,r
-39.09812350338589,77.78201304837674,r
-80.21500938947977,11.601815023152048,r
-47.76151456035732,77.17219338546782,r
-46.71010071662835,64.72368855056911,r
-89.41811385307061,4.038346732422086,r
-44.38196601125011,69.34260438593392,r
-44.39065328297426,87.91055381969586,r
-22.79960843475092,-18.10251974085906,r
-89.0,19.746197071393958,r
-80.6121064479388,22.606526015770584,r
-46.98053613748314,75.44330759615974,r
-47.867882181755235,76.0,r
-39.265935689977056,73.13211781824477,r
-80.39325719633268,13.63134534250463,r
-56.59397212106248,63.566987072474106,r
-44.12288488583179,62.6117334165175,r
-40.21847622018482,75.1228848858318,r
-14.067366430758,14.221909118783408,r
-9.625393406584088,17.12620625480145,r
-15.000000000000004,-2.6602540378443855,r
-88.53069660487931,11.987688340595138,r
-1.2306694169328836,4.2003915652490775,r
81.75692404819533,-34.395277334996045,r
-7.323477574564567,14.91773790572873,r
-33.633462033115705,-26.014783638153148,r
-8.311690981486901,-14.392871288667411,r
-9.651217631279373,11.985384301558945,r
-51.72883187156823,79.858922981438,r
71.65685424949238,-42.65685424949238,r
